Ime,College,Ekipa
Jared Goff,California,Los Angeles Rams
Carson Wentz,North Dakota State,Philadelphia Eagles
Paxton Lynch,Memphis,Denver Broncos
Christian Hackenberg,Penn State,New York Jets
Jacoby Brissett,North Carolina State,New England Patriots
Cody Kessler,USC,Cleveland Browns
Connor Cook,Michigan State,Oakland Raiders
Dak Prescott,Mississippi State,Dallas Cowboys
Cardale Jones,Ohio State,Buffalo Bills
Kevin Hogan,Stanford,Kansas City Chiefs
Nate Sudfeld,Indiana,Washington Redskins
Jake Rudock,Michigan,Detroit Lions
Brandon Allen,Arkansas,Jacksonville Jaguars
Jeff Driskel,Louisiana Tech,San Francisco 49ers
Brandon Doughty,Western Kentucky,Miami Dolphins
Jameis Winston,Florida State,Tampa Bay Buccaneers
Marcus Mariota,Oregon,Tennessee Titans
Garrett Grayson,Colorado State,New Orleans Saints
Sean Mannion,Oregon State,St. Louis Rams
Bryce Petty,Baylor,New York Jets
Brett Hundley,UCLA,Green Bay Packers
Trevor Siemian,Northwestern,Denver Broncos
Blake Bortles,Central Florida,Jacksonville Jaguars
Johnny Manziel,Texas A&M,Cleveland Browns
Teddy Bridgewater,Louisville,Minnesota Vikings
Derek Carr,Fresno State,Oakland Raiders
Jimmy Garoppolo,Eastern Illinois,New England Patriots
Logan Thomas,Virginia Tech,Arizona Cardinals
Tom Savage,Pittsburgh,Houston Texans
Aaron Murray,Georgia,Kansas City Chiefs
AJ McCarron,Alabama,Cincinnati Bengals
Zach Mettenberger,LSU,Tennessee Titans
David Fales,San Jose State,Chicago Bears
Keith Wenning,Ball State,Baltimore Ravens
Tajh Boyd,Clemson,New York Jets
Garrett Gilbert,Southern Methodist,St. Louis Rams
EJ Manuel,Florida State,Buffalo Bills
Geno Smith,West Virginia,New York Jets
Mike Glennon,North Carolina State,Tampa Bay Buccaneers
Matt Barkley,USC,Philadelphia Eagles
Ryan Nassib,Syracuse,New York Giants
Tyler Wilson,Arkansas,Oakland Raiders
Landry Jones,Oklahoma,Pittsburgh Steelers
Brad Sorensen,Southern Utah,San Diego Chargers
Zac Dysert,Miami (Ohio),Denver Broncos
B.J. Daniels,South Florida,San Francisco 49ers
Sean Renfree,Duke,Atlanta Falcons
Andrew Luck,Stanford,Indianapolis Colts
Robert Griffin,Baylor,Washington Redskins
Ryan Tannehill,Texas A&M,Miami Dolphins
Brandon Weeden,Oklahoma State,Cleveland Browns
Brock Osweiler,Arizona State,Denver Broncos
Russell Wilson,Wisconsin,Seattle Seahawks
Nick Foles,Arizona,Philadelphia Eagles
Kirk Cousins,Michigan State,Washington Redskins
Ryan Lindley,San Diego State,Arizona Cardinals
B.J. Coleman,Tennessee-Chattanooga,Green Bay Packers
Chandler Harnish,Northern Illinois,Indianapolis Colts
Cam Newton,Auburn,Carolina Panthers
Jake Locker,Washington,Tennessee Titans
Blaine Gabbert,Missouri,Jacksonville Jaguars
Christian Ponder,Florida State,Minnesota Vikings
Andy Dalton,Texas Christian,Cincinnati Bengals
Colin Kaepernick,Nevada-Reno,San Francisco 49ers
Ryan Mallett,Arkansas,New England Patriots
Ricky Stanzi,Iowa,Kansas City Chiefs
T.J Yates,North Carolina,Houston Texans
Nathan Enderle,Idaho,Chicago Bears
Tyrod Taylor,Virginia Tech,Baltimore Ravens
Greg McElroy,Alabama,New York Jets
Sam Bradford,Oklahoma,St. Louis Rams
Tim Tebow,Florida,Denver Broncos
Jimmy Clausen,Notre Dame,Carolina Panthers
Colt McCoy,Texas,Cleveland Browns
Mike Kafka,Northwestern,Philadelphia Eagles
John Skelton,Fordham,Arizona Cardinals
Jonathan Crompton,Tennessee,San Diego Chargers
Rusty Smith,Florida Atlantic,Tennessee Titans
Dan LeFevour,Central Michigan,Chicago Bears
Joe Webb,Alabama-Birmingham,Minnesota Vikings
Tony Pike,Cincinnati,Carolina Panthers
Levi Brown,Troy,Buffalo Bills
Sean Canfield,Oregon State,New Orleans Saints
Zac Robinson,Oklahoma State,New England Patriots
Matthew Stafford,Georgia,Detroit Lions
Mark Sanchez,USC,New York Jets
Josh Freeman,Kansas State,Tampa Bay Buccaneers
Pat White,West Virginia,Miami Dolphins
Stephen McGee,Texas A&M,Dallas Cowboys
Rhett Bomar,Sam Houston State,New York Giants
Nate Davis,Ball State,San Francisco 49ers
Tom Brandstater,Fresno State,Denver Broncos
Mike Teel,Rutgers,Seattle Seahawks
