Year,Cmp%,Yds,TD,,,,,,,,,,,,,,,,,,
2004,48.2,1043,6,,,,,,,,,,,,,,,,,,
2005,52.8,3762,24,,,,,,,,,,,,,,,,,,
2006,57.7,3244,24,,,,,,,,,,,,,,,,,,
2007,56.1,3336,23,,,,,,,,,,,,,,,,,,
2008,60.3,3238,21,,,,,,,,,,,,,,,,,,
2009,62.3,4021,27,,,,,,,,,,,,,,,,,,
2010,62.9,4002,31,,,,,,,,,,,,,,,,,,
2011,61,4933,29,,,,,,,,,,,,,,,,,,
2012,59.9,3948,26,,,,,,,,,,,,,,,,,,
2013,57.5,3818,18,,,,,,,,,,,,,,,,,,
2014,63.1,4410,30,,,,,,,,,,,,,,,,,,
2015,62.6,4432,35,,,,,,,,,,,,,,,,,,
2016,63,4027,26,,,,,,,,,,,,,,,,,,
2017,61.6,3468,19,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
