Leto,Krog,Izbor,Ime,All-Pro,Pro Bowl,Povprecje,St_tekem,Uspesne_podaje,Podaje,Jardi podaje,Podaje za TD,Prestrezene podaje,St_tekov,Jardi_tek,TD_tek
2016,6,201,Brandon Allen,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,3,91,Jacoby Brissett,0,0,2,16,262,436,3011,11,7,66,299,4
2016,4,100,Connor Cook,0,0,0,1,14,21,150,1,1,NA,NA,NA
2016,7,223,Brandon Doughty,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,6,207,Jeff Driskel,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,1,Jared Goff,0,0,-2,20,372,623,4472,27,13,33,73,2
2016,2,51,Christian Hackenberg,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,5,162,Kevin Hogan,0,0,1,8,60,101,621,4,7,18,176,1
2016,4,139,Cardale Jones,0,0,0,1,6,11,96,0,1,1,-1,0
2016,3,93,Cody Kessler,0,0,3,13,139,218,1506,6,3,12,17,0
2016,1,26,Paxton Lynch,0,0,1,4,58,97,538,2,2,13,42,0
2016,4,135,Dak Prescott,0,1,16,29,563,858,6419,44,13,102,570,11
2016,6,191,Jake Rudock,0,0,0,3,3,5,24,0,1,NA,NA,NA
2016,6,187,Nate Sudfeld,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,2,Carson Wentz,0,0,10,29,644,1047,7078,49,21,110,449,2
2015,3,75,Garrett Grayson,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
2015,5,147,Brett Hundley,0,0,0,13,163,262,1551,8,9,31,205,2
2015,3,89,Sean Mannion,0,0,0,5,10,14,62,0,1,6,-10,0
2015,1,2,Marcus Mariota,0,0,22,39,730,1181,8826,55,33,139,825,9
2015,4,103,Bryce Petty,0,0,2,7,77,142,823,3,7,6,26,0
2015,7,250,Trevor Siemian,0,0,9,25,490,826,5619,30,23,60,183,1
2015,1,1,Jameis Winston,0,1,24,42,863,1431,10607,64,41,129,457,7
2014,1,3,Blake Bortles,0,0,28,59,1250,2116,14062,85,59,217,1370,7
2014,6,213,Tajh Boyd,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1,32,Teddy Bridgewater,0,1,22,29,551,849,6150,28,21,91,401,4
2014,2,36,Derek Carr,0,2,29,59,1323,2152,14136,99,41,115,315,0
2014,6,183,David Fales,0,0,0,2,2,6,22,0,0,1,0,0
2014,2,62,Jimmy Garoppolo,0,0,3,20,111,166,1335,7,2,35,19,0
2014,6,214,Garrett Gilbert,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1,22,Johnny Manziel,0,0,5,15,147,258,1675,7,7,46,259,1
2014,5,164,A.J. McCarron,0,0,3,10,83,127,901,6,2,14,31,0
2014,6,178,Zach Mettenberger,0,0,1,14,208,345,2347,12,14,14,12,1
2014,5,163,Aaron Murray,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,4,135,Tom Savage,0,0,1,13,181,315,2000,5,7,16,8,0
2014,4,120,Logan Thomas,0,0,0,12,1,9,81,1,0,NA,NA,NA
2014,6,194,Keith Wenning,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,4,98,Matt Barkley,0,0,2,11,159,266,1911,8,18,12,0,0
2013,7,237,B.J. Daniels,0,0,0,8,1,2,7,0,0,6,6,0
2013,7,234,Zac Dysert,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,3,73,Mike Glennon,0,0,11,27,467,770,4933,34,20,41,90,0
2013,4,115,Landry Jones,0,0,3,17,85,141,1071,7,6,14,-12,0
2013,1,16,EJ Manuel,0,0,10,30,343,590,3767,20,16,96,339,4
2013,4,110,Ryan Nassib,0,0,0,5,9,10,128,1,0,2,-3,0
2013,7,249,Sean Renfree,0,0,0,2,3,7,11,0,1,1,-4,0
2013,2,39,Geno Smith,0,0,15,35,522,902,6174,29,36,139,659,7
2013,7,221,Brad Sorensen,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,4,112,Tyler Wilson,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,7,243,B.J. Coleman,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,4,102,Kirk Cousins,0,1,30,59,1315,1996,15553,94,51,115,359,12
2012,3,88,Nick Foles,0,1,23,46,786,1299,9313,56,27,113,350,5
2012,1,2,Robert Griffin,0,1,35,42,766,1210,8983,42,26,275,1670,10
2012,7,253,Chandler Harnish,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,6,185,Ryan Lindley,0,0,-4,10,140,274,1372,3,11,4,7,0
2012,1,1,Andrew Luck,0,3,59,70,1570,2651,19078,132,68,286,1442,14
2012,2,57,Brock Osweiler,0,0,10,41,550,932,5784,29,26,76,203,3
2012,1,8,Ryan Tannehill,0,0,50,77,1653,2637,18455,106,66,216,1065,6
2012,1,22,Brandon Weeden,0,0,14,35,559,965,6462,31,30,61,201,1
2012,3,75,Russell Wilson,0,3,76,93,1769,2754,21720,156,56,559,3171,16
2011,2,35,Andy Dalton,0,3,64,106,2156,3449,24961,163,90,341,1052,18
2011,5,160,Nathan Enderle,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,1,10,Blaine Gabbert,0,0,12,47,765,1356,8248,44,42,164,603,3
2011,2,36,Colin Kaepernick,0,0,45,69,1011,1692,12271,72,30,375,2300,13
2011,1,8,Jake Locker,0,0,15,30,408,709,4967,27,22,95,644,5
2011,3,74,Ryan Mallett,0,0,4,21,190,345,1835,9,10,28,-5,1
2011,7,208,Greg McElroy,0,0,1,2,19,31,214,1,1,8,30,0
2011,1,1,Cam Newton,1,3,84,106,1951,3330,24492,153,90,789,4151,53
2011,1,12,Christian Ponder,0,0,22,38,632,1057,6658,38,36,126,639,7
2011,5,135,Ricky Stanzi,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,6,180,Tyrod Taylor,0,1,28,55,736,1177,8347,49,18,295,1618,14
2011,5,152,T.J. Yates,0,0,4,19,146,253,1709,8,8,26,87,1
2010,1,1,Sam Bradford,0,0,42,80,1805,2887,19049,101,57,144,333,2
2010,7,209,Levi Brown,0,0,0,1,2,3,24,0,1,NA,NA,NA
2010,7,239,Sean Canfield,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,48,Jimmy Clausen,0,0,3,22,255,472,2520,7,14,37,102,0
2010,5,168,Jonathan Crompton,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,122,Mike Kafka,0,0,0,4,11,16,107,0,2,3,0,0
2010,6,181,Dan LeFevour,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,85,Colt McCoy,0,0,12,35,508,842,5586,26,23,118,420,2
2010,6,204,Tony Pike,0,0,0,1,6,12,47,0,0,NA,NA,NA
2010,7,250,Zac Robinson,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,5,155,John Skelton,0,0,4,20,320,602,3707,15,25,42,182,0
2010,6,176,Rusty Smith,0,0,1,3,23,45,234,0,4,NA,NA,NA
2010,1,25,Tim Tebow,0,0,12,35,173,361,2422,17,9,197,989,12
2009,5,151,Rhett Bomar,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,6,174,Tom Brandstater,0,0,0,1,0,2,0,0,0,NA,NA,NA
2009,5,171,Nate Davis,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,1,17,Josh Freeman,0,0,38,62,1179,2048,13873,81,68,205,946,4
2009,4,101,Stephen McGee,0,0,2,3,46,82,420,3,0,17,102,0
2009,6,196,Keith Null,0,0,1,4,73,119,566,3,9,5,6,0
2009,6,201,Curtis Painter,0,0,2,14,148,287,1681,6,13,23,109,0
2009,1,5,Mark Sanchez,0,0,34,77,1295,2285,15219,86,86,169,449,13
2009,1,1,Matthew Stafford,0,1,75,122,2941,4753,33986,210,117,267,941,14
2009,6,178,Mike Teel,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,2,44,Pat White,0,0,1,13,0,5,0,0,0,21,81,0
2008,5,137,John David Booty,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,5,162,Erik Ainge,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,6,186,Colt Brennan,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,7,223,Alex Brink,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,2,56,Brian Brohm,0,0,0,3,27,52,252,0,5,3,-3,0
2008,5,156,Dennis Dixon,0,0,2,4,35,59,402,1,2,10,56,1
2008,1,18,Joe Flacco,0,0,81,151,3187,5164,35052,195,129,318,765,15
2008,7,209,Matt Flynn,0,0,8,53,219,357,2541,17,11,65,69,1
2008,2,57,Chad Henne,0,0,27,66,1159,1956,12931,58,63,120,357,3
2008,5,160,Josh Johnson,0,0,4,29,96,177,1042,5,10,44,274,0
2008,3,94,Kevin O'Connell,0,0,0,2,4,6,23,0,0,3,-6,0
2008,1,3,Matt Ryan,1,4,111,155,3563,5481,40979,257,125,343,973,5
2008,6,198,Andre Woodson,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,2,40,John Beck,0,0,4,9,140,239,1417,3,7,19,55,3
2007,3,92,Trent Edwards,0,0,17,38,563,929,6033,26,30,78,330,3
2007,2,36,Kevin Kolb,0,0,12,34,449,755,5206,28,25,69,229,2
2007,6,205,Jordan Palmer,0,0,0,5,11,18,66,0,2,2,3,0
2007,1,22,Brady Quinn,0,0,2,24,296,550,3043,12,17,44,185,1
2007,5,151,Jeff Rowe,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA
2007,1,1,JaMarcus Russell,0,0,6,31,354,680,4083,18,23,40,175,1
2007,5,174,Troy Smith,0,0,6,20,121,234,1734,8,5,52,230,3
2007,4,103,Isaiah Stanback,0,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA
2007,2,43,Drew Stanton,0,0,10,36,310,591,3705,17,21,77,220,2
2007,7,217,Tyler Thigpen,0,0,10,29,275,509,3222,21,18,79,469,3
2006,5,164,Omar Jacobs,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,7,223,D.J. Shockley,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,2,49,Kellen Clemens,0,0,10,61,350,638,4053,16,21,83,229,3
2006,3,85,Brodie Croyle,0,0,2,18,181,319,1669,8,9,10,15,0
2006,1,11,Jay Cutler,0,1,84,149,2975,4793,34304,223,157,378,1671,9
2006,6,194,Bruce Gradkowski,0,0,8,37,375,709,4057,21,24,88,329,0
2006,2,64,Tarvaris Jackson,0,0,21,59,640,1073,7263,39,35,171,636,6
2006,1,10,Matt Leinart,0,0,12,33,366,641,4065,15,21,47,89,2
2006,5,148,Ingle Martin,0,0,0,1,NA,NA,NA,NA,NA,2,-5,0
2006,6,193,Reggie McNeal,0,0,0,7,NA,NA,NA,NA,NA,1,8,0
2006,4,103,Brad Smith,0,0,17,127,4,10,51,1,2,134,972,4
2006,3,81,Charlie Whitehurst,0,0,7,26,219,396,2463,11,8,56,156,2
2006,1,3,Vince Young,0,2,33,60,755,1304,8964,46,51,282,1459,12
2005,3,85,David Greene,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,4,121,Stefan Lefors,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,5,152,Adrian McPherson,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,7,229,James Kilian,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
